date,open,high,low,close,volume
2002-10-15,9029.59,9291.00,9007.08,9291.00,70.98M
2002-10-16,9291.00,9359.85,9127.59,9189.70,88.63M
2002-10-17,9189.70,9698.98,9137.28,9698.98,204.10M
2002-10-18,9698.98,9903.86,9484.68,9903.86,204.83M
2002-10-21,9903.86,10162.00,9755.10,9997.49,277.84M
2002-10-22,9997.49,10249.03,9938.60,10137.35,261.18M
2002-10-23,10137.35,10164.54,9850.77,9943.62,125.73M
2002-10-24,9943.62,10384.15,9939.25,10384.15,216.34M
2002-10-25,10384.15,10523.32,10238.01,10411.77,186.45M
2002-10-28,10411.77,10624.92,10306.18,10437.84,108.16M
2002-10-30,10437.84,10540.94,10065.73,10138.54,193.17M
2002-10-31,10138.54,10466.28,10138.54,10251.92,169.60M
2002-11-01,10251.92,10251.92,10044.41,10217.08,78.10M
2002-11-04,10217.08,11171.51,10189.48,10844.43,374.89M
2002-11-05,10844.43,12046.49,10844.43,11947.28,538.94M
2002-11-06,11947.28,12246.51,11823.75,11973.38,393.63M
2002-11-07,11973.38,13476.24,11965.73,13472.17,662.99M
2002-11-08,13472.17,14408.05,12694.13,13221.79,695.75M
2002-11-11,13221.79,13221.79,12624.49,12773.73,254.08M
2002-11-12,12773.73,12773.73,11990.21,12097.53,328.49M
2002-11-13,12097.53,12465.86,12077.61,12417.13,303.39M
2002-11-14,12417.13,13488.24,12417.13,12971.09,407.66M
2002-11-15,12971.09,13597.57,12735.18,13597.57,336.21M
2002-11-18,13597.57,14250.65,13597.57,14058.40,431.84M
2002-11-19,14058.40,14058.40,13246.84,13387.93,289.22M
2002-11-20,13387.93,13500.70,12999.62,13292.01,230.63M
2002-11-21,13292.01,13821.59,13292.01,13811.14,464.04M
2002-11-22,13811.14,14072.08,13262.14,13501.38,370.68M
2002-11-25,13501.38,13580.18,12811.60,13052.91,-
2002-11-26,13052.91,13188.84,12664.71,12824.29,232.45M
2002-11-27,12824.29,13102.00,12386.39,13036.91,-
2002-11-28,13036.91,13185.75,12793.31,12923.75,230.38M
2002-11-29,12923.75,13319.23,12737.78,13300.40,216.34M
2002-12-02,13300.40,13408.15,13096.53,13364.17,200.17M
2002-12-03,13364.17,13364.17,13018.80,13226.38,118.11M
2002-12-04,13226.38,13287.29,13086.47,13287.29,56.95M
2002-12-09,13287.29,13287.29,12524.08,12703.78,111.06M
2002-12-10,12703.78,13047.76,12507.47,13047.76,137.67M
2002-12-11,13047.76,13156.93,12577.41,12717.28,210.50M
2002-12-12,12717.28,13191.75,12588.91,13146.83,208.84M
2002-12-13,13146.83,13146.83,12604.96,13047.43,208.55M
2002-12-16,13047.43,13085.89,12164.15,12392.48,198.88M
2002-12-17,12392.48,12392.48,11431.45,11511.01,220.04M
2002-12-18,11511.01,11724.76,11293.23,11528.42,236.22M
2002-12-19,11568.87,11568.87,10971.32,11125.28,192.09M
2002-12-20,11125.28,11351.18,10879.04,11286.45,137.57M
2002-12-23,11286.45,11295.34,10553.07,10702.46,144.21M
2002-12-24,10702.46,10731.09,10002.47,10447.46,217.58M
2002-12-25,10447.46,10905.56,10326.97,10883.52,218.33M
2002-12-26,10883.52,11191.89,10312.62,10396.74,252.62M
2002-12-27,10396.74,10493.53,10192.10,10463.95,219.26M
2002-12-30,10463.95,10478.64,10149.65,10288.12,88.59M
2002-12-31,10288.12,10397.49,10228.93,10369.92,83.90M
2003-01-02,10369.92,10642.26,10247.41,10598.58,178.54M
2003-01-03,10598.58,10837.53,10549.59,10837.53,180.11M
2003-01-06,10837.53,10837.53,10271.91,10357.34,117.22M
2003-01-07,10357.34,10357.34,9665.35,9752.86,151.28M
2003-01-08,9752.86,10161.21,9690.72,10161.21,154.33M
2003-01-09,10161.21,10228.67,9889.31,10225.82,165.61M
2003-01-10,10225.82,10354.45,10102.38,10204.05,194.34M
2003-01-13,10204.05,10412.73,10098.92,10412.73,137.11M
2003-01-14,10412.73,10504.93,10037.73,10124.88,176.82M
2003-01-15,10124.88,10396.09,10091.42,10280.69,118.96M
2003-01-16,10280.69,10475.52,10268.94,10467.87,106.56M
2003-01-17,10467.87,10467.87,10209.63,10348.33,86.23M
2003-01-20,10348.33,10590.28,10144.44,10590.28,117.37M
2003-01-21,10590.28,10764.25,10455.89,10570.40,133.14M
2003-01-22,10570.40,10665.63,10397.27,10544.69,111.05M
2003-01-23,10544.69,10881.88,10505.69,10881.88,167.97M
2003-01-24,10881.88,10881.88,10626.65,10825.87,160.15M
2003-01-27,10825.87,11018.84,10641.95,10931.12,199.27M
2003-01-28,10931.12,10936.12,10634.62,10742.90,202.35M
2003-01-29,10742.90,10742.90,10549.31,10725.66,166.77M
2003-01-30,10725.66,10945.73,10660.58,10945.73,261.76M
2003-01-31,10945.73,11032.03,10764.59,11032.03,157.69M
2003-02-03,11032.03,11163.38,10851.55,11122.03,143.61M
2003-02-04,11122.03,11161.80,10538.46,10658.31,188.16M
2003-02-05,10658.31,10659.85,10357.55,10659.85,127.82M
2003-02-06,10659.85,10921.78,10659.85,10921.78,180.60M
2003-02-07,10921.78,11018.67,10814.08,11013.83,135.22M
2003-02-17,11013.83,11302.52,10810.90,11302.52,165.02M
2003-02-18,11302.52,11775.49,11207.36,11775.49,323.90M
2003-02-19,11775.49,12025.94,11523.79,11607.31,346.28M
2003-02-20,11607.31,11990.44,11464.83,11669.31,399.16M
2003-02-21,11669.31,11780.26,11540.85,11754.00,237.37M
2003-02-24,11754.00,12015.22,11268.02,11392.58,252.69M
2003-02-25,11392.58,11443.66,11110.03,11272.71,139.93M
